"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B08NRM17XZ","B08NWGT1XT","25 Ft Outdoor Extension Cord - 16/3 SJTW Durable Pink Cable with 3 Prong Grounded Plug for Safety","PL-IFC-163NP25","37","0.06%","45","0.06%","100%","24","13","64.86%","35.14%","$598.51","$321.46","14","3"
"B0971HSGPG","B08T6FMSKR","15 Ft Extension Cord with 45° Angled Flat Plug - 16/3 SJTW Low Profile Durable Black Indoor Cable","PL-IFC-163B15AP","41","0.07%","52","0.07%","100%","21","3","51.22%","7.32%","$217.31","$31.20","20","3"
"B07GZYPN6T","B015QDLQGC","Play Platoon Ring Toss Game - Backyard Games for Kids - Includes 8 Rope & 8 Plastic Rings and Carry Bag","PL-PP-RINGTOSS","81","0.14%","105","0.14%","94%","20","2","24.69%","2.47%","$392.45","$39.25","19","2"
"B07HKG7ZCL","B019P9ZDQC","Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 3 Prong Extension Cable with 3 Electrical Power Outlets - Great for Garden & Major Appliances (2ft - Yellow)","PL-IFC-123Y2P","171","0.29%","207","0.27%","100%","64","2","37.43%","1.17%","$661.96","$20.06","55","2"
"B07HKLFJGV","B019P9ZE3E","100 Foot Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 3 Prong Extension Cable - Great for Garden and Major Appliances (100 Foot - Yellow)","PL-IFC-123Y100-DL","308","0.52%","421","0.54%","92%","7","3","2.27%","0.97%","$570.65","$245.85","5","2"
"B07HKNMZ86","B01JN1JG0Q","6 Ft Outdoor Extension Cord - 16/3 Heavy Duty Black Cable with 3 Prong Grounded Plug for Safety","PL-IFC-163B06","136","0.23%","166","0.21%","100%","76","2","55.88%","1.47%","$1,308.51","$35.86","60","2"
"B07JBH4QN7","B01JN1JPOI","20 Ft White Extension Cord - 16/3 Durable Electrical Cable","PL-IFC-163W20","85","0.14%","113","0.15%","100%","77","3","90.59%","3.53%","$1,018.18","$41.92","50","2"
"B07HKRM7YL","B01JN1JTGW","10 Ft Extension Cord with 3 Electrical Power Outlet - 16/3 Durable White Cable","PL-IFC-163W10P3","35","0.06%","44","0.06%","100%","24","2","68.57%","5.71%","$193.06","$16.16","24","2"
"B01LR30Y6S","B01K4ZDLII","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Silver & 4 Black","PL-PP-CH-SLBK","254","0.43%","325","0.42%","98%","92","2","36.22%","0.79%","$1,677.08","$35.98","86","2"
"B083WP4SWJ","B01LX3ACCA","100 Mini Plastic Dessert Cups with Spoons - 2 oz Dessert Shooters for Chocolate Desserts, Appetizers, Dessert Samplers, Dessert Shot Glasses & More","PL-IL-DC2-100","186","0.31%","233","0.30%","99%","63","3","33.87%","1.61%","$1,322.37","$62.97","53","2"
"B0784ZFRLL","B06XFKN7BP","Play Platoon 14 Player Flag Football Deluxe Set - 14 Belts, 42 Flags, 12 Cones & 1 Mesh Carrying Bag for Flag Football","PL-PP-FF-14BELT","82","0.14%","103","0.13%","98%","31","4","37.80%","4.88%","$867.69","$111.96","26","2"
